id,destination,origin,year,migrants
731,67,49,1990,1593
732,67,74,1990,5458
733,67,25,1990,1712
734,67,169,1990,6
735,67,166,1990,1610
736,67,93,1990,0
737,67,146,1990,17755
738,67,26,1990,188809
739,67,170,1990,1
740,67,130,1990,208
741,67,38,1990,527
742,67,27,1990,0
743,67,50,1990,20477
744,67,131,1990,228
745,67,114,1990,337
746,67,171,1990,10
747,67,1,1990,2690
748,67,28,1990,110
749,67,132,1990,221
750,67,133,1990,174
751,95,172,1990,551
752,95,97,1990,6691
753,95,69,1990,45
754,95,98,1990,12650
755,95,85,1990,35
756,95,99,1990,2764
757,95,173,1990,47
758,95,5,1990,247
759,95,86,1990,445
760,95,20,1990,35
761,95,100,1990,3025
762,95,162,1990,30
763,95,50,1990,306
764,151,136,1990,143
765,151,137,1990,393
766,151,68,1990,370
767,151,156,1990,2107
768,151,160,1990,265
769,151,162,1990,15728
770,151,166,1990,16968
771,151,152,1990,3507
772,4,3,1990,24
773,4,10,1990,15
774,4,172,1990,422
775,4,39,1990,18
776,4,68,1990,14
777,4,69,1990,12
778,4,5,1990,20841
779,4,57,1990,6
780,4,177,1990,59
781,4,8,1990,334
782,4,73,1990,9
783,4,9,1990,10
784,4,179,1990,9
785,4,49,1990,11
786,4,74,1990,11
787,4,50,1990,17
788,53,66,1990,310
789,53,54,1990,21218
790,53,68,1990,259
791,53,69,1990,816
792,53,32,1990,233
793,53,57,1990,165
794,53,59,1990,3727
795,53,35,1990,624
796,53,36,1990,271
797,53,63,1990,16974
798,53,37,1990,4681
799,53,64,1990,2796
800,53,60,1990,2468
801,147,134,1990,551
802,147,10,1990,398
803,147,172,1990,874
804,147,137,1990,526
805,147,39,1990,102
806,147,69,1990,332
807,147,5,1990,1967
808,147,44,1990,185
809,147,57,1990,161
810,147,121,1990,122
811,147,149,1990,505
812,147,122,1990,100
813,147,123,1990,713
814,147,124,1990,292
815,147,125,1990,184
816,147,150,1990,286
817,147,73,1990,188
818,147,162,1990,108
819,147,48,1990,116
820,147,9,1990,145
821,147,61,1990,137
822,147,127,1990,45
823,147,115,1990,5780
824,147,133,1990,4905
825,147,148,1990,108
826,147,49,1990,129
827,147,130,1990,295
828,147,50,1990,3289
829,147,131,1990,460
830,147,132,1990,1991
831,105,2,1990,0
832,105,141,1990,0
833,105,52,1990,0
834,105,134,1990,4868
835,105,103,1990,28350
836,105,66,1990,4756
837,105,78,1990,0
838,105,13,1990,0
839,105,3,1990,0
840,105,11,1990,0
841,105,79,1990,0
842,105,67,1990,1887
843,105,53,1990,0
844,105,95,1990,0
845,105,30,1990,409
