"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
   Grenada,,308,B, 2 106, 2 746, 3 386, 3 424, 3 463, 3 502, 3 292
   Guadeloupe*,21,312,B, 32 718, 36 248, 39 778, 41 273, 42 768, 38 680, 37 914
   Haiti,,332,B R, 10 606, 10 076, 9 572, 9 093, 9 552, 10 036, 10 499
   Jamaica,,388,B R, 9 981, 11 242, 12 503, 12 248, 12 024, 11 765, 12 008
   Martinique*,22,474,B R, 19 091, 22 271, 25 451, 25 891, 26 330, 29 432, 29 199
   Montserrat*,23,500,B, 1 029,  825,  622,  639,  664,  696,  711
   Puerto Rico*,24,630,B, 153 354, 160 739, 168 480, 166 780, 142 939, 130 916, 114 868
   Saint Barthélemy*,,652,,..,..,..,..,..,..,..
   Saint Kitts and Nevis,,659,B R, 1 642, 2 196, 3 068, 3 501, 3 806, 3 916, 4 066
   Saint Lucia,,662,B R, 2 618, 3 563, 4 960, 4 841, 4 377, 4 179, 4 004
   Saint Martin (French part)*,,663,,..,..,..,..,..,..,..
   Saint Vincent and the Grenadines,,670,B R, 1 928, 2 011, 2 099, 2 198, 2 302, 2 355, 2 443
   Sint Maarten (Dutch part)*,25,534,B R,..,..,.., 6 285, 12 570, 13 077, 13 822
   Trinidad and Tobago,,780,B R, 23 528, 21 303, 19 288, 20 647, 23 152, 24 464, 39 179
   Turks and Caicos Islands*,26,796,B R, 2 620, 3 643, 4 665, 6 787, 8 907, 11 759, 13 325
   United States Virgin Islands*,27,850,B, 24 824, 25 760, 26 730, 26 726, 26 722, 26 728, 26 744
  Central America,,916,, 903 333, 643 244, 554 886, 688 185, 875 029, 924 739,1 165 930
   Belize,,84,B R , 16 393, 17 512, 18 631, 21 052, 23 475, 27 473, 31 210
   Costa Rica,,188,B R, 212 173, 184 485, 156 798, 176 445, 196 055, 197 613, 263 636
   El Salvador,,222,B R, 22 218, 18 564, 14 909, 17 034, 19 157, 20 006, 20 344
   Guatemala,,320,B R, 112 615, 66 913, 21 211, 26 048, 30 919, 35 728, 39 916
   Honduras,,340,B R, 137 573, 76 077, 14 581, 14 476, 14 306, 20 123, 20 575
   Mexico,,484,B R, 348 353, 229 589, 270 896, 359 724, 490 779, 508 232, 601 509
   Nicaragua,,558,B R, 20 860, 13 364, 15 423, 17 774, 19 135, 20 723, 21 683
   Panama,,591,B R, 33 148, 36 740, 42 437, 55 632, 81 203, 94 841, 167 057
  South America,,931,,2 139 912,2 109 868,2 083 660,2 228 241,2 579 842,3 015 043,5 455 017
   Argentina,,32,B R, 788 130, 753 027, 717 924, 775 308, 831 696, 960 310,1 062 533
   Bolivia (Plurinational State of),,68,B R, 37 549, 42 806, 47 665, 56 019, 64 380, 74 949, 85 961
   Brazil,,76,B R, 426 147, 396 152, 366 156, 343 019, 319 921, 383 457, 582 881
   Chile,,152,B, 54 547, 69 632, 84 717, 131 414, 178 111, 319 714, 830 073
   Colombia,,170,B, 53 109, 54 666, 56 223, 54 938, 68 391, 85 158, 953 735
   Ecuador,,218,B R, 38 531, 57 879, 77 227, 97 472, 193 497, 200 352, 406 860
   Falkland Islands (Malvinas)*,28,238,B,  488,  510,  636,  675,  807,  873, 1 089
   French Guiana*,29,254,B R, 34 843, 36 869, 38 895, 42 729, 46 564, 50 399, 56 642
   Guyana,,328,B R, 2 200, 3 405, 4 611, 5 817, 4 530, 4 794, 14 497
   Paraguay,,600,B R, 102 816, 97 869, 92 052, 87 698, 83 394, 81 303, 88 311
   Peru,,604,B R, 28 376, 28 062, 32 839, 38 959, 56 097, 91 090, 642 404
   Suriname,,740,C R, 9 767, 12 091, 14 938, 18 338, 21 658, 23 544, 26 271
   Uruguay,,858,B R, 45 830, 43 427, 41 095, 37 658, 34 535, 35 642, 50 937
