"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
   Guyana,328,4095.0,6352.0,8610.0,10868.0,8182.0,8661.0,31169.0
   Paraguay,600,195884.0,186570.0,176608.0,168243.0,160299.0,156462.0,169567.0
   Peru,604,56688.0,56732.0,66300.0,77877.0,104706.0,154774.0,1224519.0
   Suriname,740,18083.0,22320.0,27506.0,33662.0,39713.0,43127.0,47801.0
   Uruguay,858,98116.0,93428.0,88874.0,82317.0,76303.0,78799.0,108267.0
   Venezuela (Bolivarian Republic of),862,1025009.0,1019996.0,1013738.0,1076474.0,1347347.0,1404448.0,1324193.0
   Bermuda*,60,15683.0,16676.0,17684.0,18108.0,18547.0,19212.0,19739.0
   Canada,124,4333318.0,4864778.0,5511914.0,6078985.0,6761226.0,7428657.0,8049323.0
   Greenland*,304,9282.0,7121.0,6601.0,6556.0,6091.0,6009.0,5899.0
   Saint Pierre and Miquelon*,666,1099.0,1320.0,1458.0,1147.0,1017.0,986.0,998.0
   United States of America*,840,23251026.0,28451053.0,34814053.0,39258293.0,44183643.0,48178877.0,50632836.0
   Australia*,36,3955213.0,4153330.0,4386250.0,4878030.0,5882980.0,6729730.0,7685860.0
   New Zealand*,554,518047.0,588617.0,678813.0,839952.0,947443.0,1039736.0,1381724.0
  Melanesia,928,91200.0,96828.0,95281.0,103881.0,110691.0,119343.0,124073.0
   Fiji,242,13283.0,13001.0,12719.0,12434.0,13357.0,13751.0,14087.0
   New Caledonia*,540,37673.0,43662.0,49651.0,55405.0,61158.0,68881.0,73141.0
   Papua New Guinea,598,33710.0,33526.0,26304.0,29971.0,30425.0,30940.0,31068.0
   Solomon Islands,90,4226.0,4178.0,3981.0,3271.0,2760.0,2585.0,2520.0
   Vanuatu,548,2308.0,2461.0,2626.0,2800.0,2991.0,3186.0,3257.0
  Micronesia,954,108969.0,118687.0,130186.0,128390.0,114743.0,113466.0,118860.0
   Guam*,316,69755.0,71912.0,74070.0,74743.0,75416.0,76089.0,80472.0
   Kiribati,296,2162.0,2223.0,2283.0,2487.0,2868.0,2919.0,3126.0
   Marshall Islands,584,1158.0,1480.0,1891.0,2417.0,3089.0,3284.0,3298.0
   Micronesia (Fed. States of),583,3685.0,3342.0,3116.0,2905.0,2806.0,2756.0,2832.0
   Nauru,520,2815.0,2605.0,2394.0,2253.0,906.0,1833.0,2201.0
   Northern Mariana Islands*,580,26593.0,32376.0,40122.0,37542.0,24168.0,21648.0,21843.0
   Palau,585,2801.0,4749.0,6310.0,6043.0,5490.0,4937.0,5088.0
   American Samoa*,16,21283.0,23098.0,24912.0,24233.0,23555.0,23513.0,23608.0
   Cook Islands*,184,2587.0,2686.0,2785.0,3277.0,3769.0,4168.0,4579.0
   French Polynesia*,258,25830.0,28360.0,30329.0,32286.0,31640.0,30058.0,30081.0
   Niue*,570,461.0,480.0,498.0,522.0,589.0,588.0,588.0
   Samoa,882,3357.0,4694.0,5998.0,5746.0,5122.0,4255.0,4021.0
   Tokelau*,772,360.0,506.0,712.0,1003.0,1128.0,1185.0,1238.0
   Tonga,776,2911.0,3274.0,3684.0,4301.0,4607.0,3954.0,3742.0
   Tuvalu,798,318.0,263.0,218.0,209.0,220.0,230.0,239.0
   Wallis and Futuna Islands*,876,1402.0,1704.0,2015.0,2191.0,2111.0,2050.0,2040.0
