"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
   Chile,152, 244 595, 253 225, 265 126, 281 709, 300 575, 326 820, 337 596
   Colombia,170, 550 509, 659 841, 775 690,1 024 586,1 376 167,1 464 470,1 647 831
   Ecuador,218, 108 362, 166 565, 228 646, 507 799, 596 574, 592 621, 596 385
   Falkland Islands (Malvinas)*,238,  116,  424,  734,  628,  659,  792,  882
   French Guiana*,254, 1 590, 1 831, 2 092, 2 188, 2 274, 2 670, 2 691
   Guyana,328, 122 727, 155 452, 190 738, 207 501, 235 088, 258 873, 237 181
   Paraguay,600, 166 268, 188 819, 211 965, 307 266, 436 806, 482 486, 511 676
   Peru,604, 163 773, 274 041, 382 535, 531 859, 735 166, 804 246, 854 528
   Suriname,740, 91 247, 100 218, 112 481, 133 495, 142 598, 141 828, 152 426
   Uruguay,858, 120 987, 119 425, 120 223, 152 545, 177 129, 185 978, 192 259
   Venezuela (Bolivarian Republic of),862, 102 683, 134 900, 176 537, 243 169, 313 573, 397 586,2 810 135
 NORTHERN AMERICA,905,1 536 499,1 613 577,1 721 468,1 890 500,2 141 004,2 154 270,2 306 471
   Bermuda*,60, 36 990, 21 882, 7 117, 7 516, 7 725, 8 218, 10 795
   Canada,124, 629 424, 670 494, 715 140, 732 574, 785 079, 784 389, 793 291
   Greenland*,304, 5 733, 6 809, 7 976, 8 580, 8 907, 9 557, 10 208
   Saint Pierre and Miquelon*,666,  245,  231,  224,  207,  201,  178,  191
   United States of America*,840, 864 107, 914 161, 991 011,1 141 623,1 339 092,1 351 928,1 491 986
 OCEANIA ,909, 492 573, 552 228, 642 390, 710 600, 802 363, 887 911,1 002 560
  Australia and New Zealand,927, 353 679, 391 525, 450 533, 502 354, 575 326, 633 506, 711 082
   Australia*,36, 161 777, 184 048, 206 283, 227 715, 250 505, 270 033, 311 656
   New Zealand*,554, 191 902, 207 477, 244 250, 274 639, 324 821, 363 473, 399 426
  Melanesia,928, 53 683, 64 079, 77 917, 91 751, 106 545, 120 246, 134 495
   Fiji,242, 46 535, 55 633, 68 600, 81 698, 96 168, 109 257, 123 040
   New Caledonia*,540, 2 221, 2 466, 2 667, 2 733, 2 713, 2 859, 2 984
   Papua New Guinea,598, 1 537, 2 024, 2 273, 2 269, 2 141, 2 629, 2 457
   Solomon Islands,90, 1 078, 1 261, 1 382, 1 543, 1 726, 1 973, 2 198
   Vanuatu,548, 2 312, 2 695, 2 995, 3 508, 3 797, 3 528, 3 816
  Micronesia,954, 10 993, 14 698, 19 784, 20 098, 19 582, 21 081, 25 819
   Guam*,316,  682,  763, 1 410, 1 307, 1 207, 1 151, 1 206
   Kiribati,296, 2 116, 2 213, 2 093, 2 081, 1 826, 2 110, 2 608
   Marshall Islands,584,  719, 2 074, 3 487, 3 317, 3 278, 3 862, 5 571
   Micronesia (Fed. States of),583, 3 778, 5 988, 8 396, 9 119, 9 693, 10 321, 12 584
   Nauru,520,  792,  813,  824,  936, 1 036, 1 139, 1 240
   Northern Mariana Islands*,580, 1 318, 1 373, 1 432, 1 379, 1 282, 1 268, 1 340
   Palau,585, 1 588, 1 474, 2 142, 1 959, 1 260, 1 230, 1 270
  Polynesia*,957, 74 218, 81 926, 94 156, 96 397, 100 910, 113 078, 131 164
   American Samoa*,16,  992, 1 273, 1 557, 1 261, 1 060,  969,  908
   Cook Islands*,184, 9 108, 8 860, 9 987, 10 030, 10 491, 10 864, 10 653
   French Polynesia*,258, 1 549, 1 870, 2 175, 1 347,  717,  896,  970
   Niue*,570, 3 026, 2 923, 2 961, 2 703, 2 738, 2 728, 2 631
   Samoa,882, 38 259, 42 111, 47 970, 50 391, 53 367, 59 346, 69 061
   Tokelau*,772,  848,  910, 1 044, 1 053, 1 078, 1 075, 1 044
   Tonga,776, 16 469, 19 393, 23 565, 24 440, 26 091, 29 727, 37 799
   Tuvalu,798, 1 147, 1 358, 1 257, 1 435, 1 536, 1 610, 1 854
   Wallis and Futuna Islands*,876, 2 820, 3 228, 3 640, 3 737, 3 832, 5 863, 6 244
OTHER,2003,4 231 344,3 701 273,3 469 772,3 723 801,4 155 744,5 233 330,6 123 953
